T (\u2070C),SUBIDA,BAJADA
,Capacitancia (pF),Capacitancia (pF)
22.3,326,
25,331,
30,330,
35,328,
40,326,
45,324,
50,323,
55,322,
60,322,
65,323,
70,324,333
75,327,335
80,329,339
85,333,344
90,338,350
95,342,358
100,355,368
105,371,381
110,393,398
115,418,423
120,450,458
121,460,468
122,469,492
123,480,500
124,491,511
125,504,531
126,519,555
127,535,587
128,587,617
129,616,641
130,630,655
131,634,659
132,633,658
133,630,654
134,626,630
135,622,617
140,561,585
145,521,533
150,474,489
