T,C
62.3,115
62.2,115
62.1,115
62,115
61.9,116
61.8,116
61.7,116
61.6,116
61.5,120
61.4,120
61.3,120
61.2,120.2
61.1,121.1
61,121.1
60.9,122
60.8,122
60.7,123
60.6,124
60.5,125
60.4,126
60.3,127
60.2,128
60.1,129
60,129
59.9,131
59.8,132
59.7,133
59.6,135
59.5,135
59.4,137
59.3,138
59.2,139
59.1,141
59,141
58.8999999999999,143
58.8,145
58.7,147
58.6,148
58.5,149
58.3999999999999,150
58.3,152
58.1999999999999,154
58.0999999999999,157
57.9999999999999,158
57.8999999999999,160
57.7999999999999,162
57.6999999999999,164
57.5999999999999,166
57.4999999999999,168
57.3999999999999,170
57.2999999999999,173
57.1999999999999,175
57.0999999999999,177
56.9999999999999,180
56.8999999999999,182
56.7999999999999,185
56.6999999999999,188
56.5999999999999,192
56.4999999999999,195
56.3999999999999,198
56.2999999999999,202
56.1999999999999,205
56.0999999999999,208
55.9999999999999,212
55.8999999999999,217
55.7999999999999,220
55.6999999999999,224
55.5999999999999,226
55.4999999999999,230
55.3999999999999,236
55.2999999999999,245
55.1999999999999,250
55.0999999999999,256
54.9999999999999,263
54.8999999999999,273
54.7999999999999,280
54.6999999999999,285
54.5999999999999,294
54.4999999999999,303
54.3999999999999,317
54.2999999999999,323
54.1999999999999,333
54.0999999999999,345
53.9999999999999,355
53.8999999999999,372
53.7999999999999,383
53.6999999999999,400
53.5999999999999,423
53.4999999999999,440
53.3999999999999,465
53.2999999999999,485
53.1999999999999,522
53.0999999999999,543
52.9999999999999,584
52.8999999999999,634
52.7999999999999,670
52.6999999999999,738
52.5999999999999,818
52.4999999999999,910
52.3999999999999,1070
52.2999999999999,1185
52.1999999999999,1500
52.0999999999999,1806
51.9999999999999,2318
51.8999999999999,3100
51.7999999999998,4100
51.6999999999998,4500
51.5999999999998,5335
51.4999999999998,4928.5
51.3999999999998,4169.5
51.2999999999998,3568
51.1999999999998,3168
51.0999999999998,2828.5
50.9999999999998,2557
50.8999999999998,2338.5
50.7999999999998,2165
50.6999999999998,2010
50.5999999999998,1880.5
50.4999999999998,1761.5
50.3999999999998,1659
50.2999999999998,1569.5
50.1999999999998,1484
50.0999999999998,1415
49.9999999999998,1356.5
49.8999999999998,1295.5
49.7999999999998,1239.5
49.6999999999998,1190
49.5999999999998,1142
49.4999999999998,1103
49.3999999999998,1064.5
49.2999999999998,1043
49.1999999999998,1009
49.0999999999998,978
48.9999999999998,950
48.8999999999998,900
48.7999999999998,893
48.6999999999998,870
48.5999999999998,845
48.3999999999998,799
48.2999999999998,776
48.1999999999998,765
48.0999999999998,740
47.9999999999998,725
47.8999999999998,708
47.7999999999998,692
47.6999999999998,680
47.5999999999998,663
47.4999999999998,652
47.3999999999998,636
47.2999999999998,626
47.1999999999998,612
47.0999999999998,602
46.9999999999998,590
46.8999999999998,578
46.7999999999998,568
46.6999999999998,558
46.5999999999998,549
46.4999999999998,540
46.3999999999998,530
46.2999999999998,520
46.1999999999998,512
46.0999999999998,505
45.9999999999998,497
45.8999999999998,488
45.7999999999998,481
45.6999999999998,473
45.5999999999998,466
45.4999999999998,460
45.3999999999998,453
45.2999999999998,448
45.1999999999998,442
45.0999999999997,434
44.9999999999997,428
44.8999999999997,423
44.7999999999997,418
44.6999999999997,413
44.5999999999997,408
44.4999999999997,403
44.3999999999997,399
44.2999999999997,394
44.1999999999997,389
44.0999999999997,384
43.9999999999997,379
43.8999999999997,374
43.7999999999997,371
43.6999999999997,366
43.5999999999997,364
43.4999999999997,359
43.3999999999997,356
43.2999999999997,351
43.1999999999997,347
43.0999999999997,344
42.9999999999997,341
42.8999999999997,337
42.7999999999997,334
42.6999999999997,330
42.5999999999997,327
42.4999999999997,324
42.3999999999997,321
42.2999999999997,318
42.1999999999997,315
42.0999999999997,312
41.9999999999997,309
41.8999999999997,306
41.7999999999997,304
41.6999999999997,301
41.5999999999997,298
41.4999999999997,296
41.3999999999997,293
41.2999999999997,291
41.1999999999997,288
41.0999999999997,286
40.9999999999997,284
40.8999999999997,281
40.7999999999997,279
40.6999999999997,277
40.5999999999997,274
40.4999999999997,272
40.3999999999997,270
40.2999999999997,268
40.1999999999997,266
40.0999999999997,264
39.9999999999997,263
39.8999999999997,260
39.7999999999997,258
39.6999999999997,256
39.5999999999997,255
39.4999999999997,253
39.3999999999997,251
39.2999999999997,249
39.1999999999997,247
39.0999999999997,246
38.9999999999997,245
38,236
37,220
36,205
35,192
34,182
32.5,170
31.5,163
